,0
2047,18.9
2048,20.1
2049,22.2
2050,24.9
2051,27.5
2052,28.8
2053,26.7
2054,27.1
2055,24.9
2056,24.3
2057,23.4
2058,22.7
2059,21.7
2060,21.9
2061,21.4
2062,21.4
2063,21.5
2064,21.3
2065,21.3
2066,17.7
2067,20.3
2068,20.0
2069,19.7
2070,19.5
2071,19.6
2072,19.6
2073,21.3
2074,17.7
2075,20.7
2076,17.3
2077,18.1
2078,17.9
2079,17.7
2080,17.0
2081,16.7
2082,16.1
2083,16.1
2084,16.2
2085,13.1
2086,16.5
2087,15.0
2088,15.6
2089,14.9
2090,14.1
2091,13.1
2092,13.3
2093,13.1
2094,13.1
2095,13.3
2096,14.0
2097,13.4
2098,17.1
2099,12.9
2100,13.4
2101,14.3
2102,14.2
2103,14.1
2104,14.2
2105,14.0
2106,14.1
2107,14.0
2108,14.199999999999998
2109,14.1
2110,14.199999999999998
2111,14.199999999999998
2112,14.3
2113,14.199999999999998
2114,12.8
2115,10.9
2116,12.2
2117,12.1
2118,11.8
2119,11.4
2120,11.5
2121,12.0
2122,12.0
2123,12.1
2124,12.0
2125,15.8
2126,12.0
2127,12.0
2128,11.9
2129,11.9
2130,11.9
